City_ID,City,Country,Lat,Lng,Max Temp,% Humidity,Cloudiness,Wind Speed
267,Chicama,PE,-7.8447,-79.1469,295.15,88,0,4.12
268,Kailua,US,21.4022,-157.7394,295.15,73,40,7.2
269,Ilulissat,GL,69.2167,-51.1,267.15,63,75,3.09
270,Foam Lake,CA,51.65,-103.5343,277.15,65,100,5.66
271,Eureka,US,40.8021,-124.1637,278.71,95,87,0.89
272,Dombarovskiy,RU,50.7587,59.5386,271.79,93,100,8.39
273,Valley City,US,46.9233,-98.0032,277.15,87,1,7.72
274,Samarai,PG,-10.6167,150.6667,301.38,78,44,2.84
275,Fortuna,US,40.5982,-124.1573,278.71,100,90,2.57
276,Henties Bay,NA,-22.116,14.2845,292.04,81,28,4.47
277,Lake Havasu City,US,34.4839,-114.3224,290.93,27,1,1.77
278,Kahului,US,20.8947,-156.47,294.15,88,1,6.65
279,Kieta,PG,-6.2167,155.6333,299.37,84,100,1.49
280,Hofn,IS,64.2539,-15.2082,278.69,38,100,1.89
281,Mihai Bravu,RO,44.1406,26.0628,283.71,64,72,2.91
282,Isangel,VU,-19.55,169.2667,297.8,84,100,4.12
283,Chimbote,PE,-9.0853,-78.5783,296.53,67,30,2.64
284,Kudymkar,RU,59.0173,54.656,269.65,89,100,4.37
285,Chepareria,KE,1.3077,35.2039,299.19,42,92,2.67
286,Flinders,AU,-34.5833,150.8552,294.82,91,100,2.68
287,Nagato,JP,34.3833,131.2,288.15,100,75,0.51
288,Hithadhoo,MV,-0.6,73.0833,301.38,71,100,3.6
289,Appingedam,NL,53.3217,6.8583,279.82,92,99,3.13
290,Kerugoya,KE,-0.4989,37.2803,295.94,63,93,3.88
291,Shenjiamen,CN,29.9576,122.298,282.28,78,19,9.62
292,Ilave,PE,-16.0833,-69.6667,283.03,59,68,0.66
293,Modāsa,IN,23.4667,73.3,303.64,13,0,3.19
294,Meulaboh,ID,4.1363,96.1285,299.58,82,100,0.49
295,Havre-St-Pierre,CA,50.2334,-63.5986,261.15,61,90,3.09
296,Sarkand,KZ,45.41,79.9186,278.91,41,100,2.93
297,Leer,SS,8.3018,30.1418,311.84,22,91,2.59
298,Elko,US,41.0002,-115.5012,274.26,96,100,0.89
299,Esim,GH,4.8699,-2.2405,302.79,65,39,4.05
300,Pontes e Lacerda,BR,-15.2261,-59.3353,297.97,88,96,2.16
301,Bailén,ES,38.0964,-3.7779,287.04,29,0,7.94
302,Puerto Madryn,AR,-42.7692,-65.0385,293.32,36,45,10.9
303,Chokurdakh,RU,70.6333,147.9167,249.59,97,100,1.14
304,Şuhut,TR,38.5311,30.5458,283.6,61,96,5.23
305,Black Diamond,US,47.3087,-122.0032,279.82,80,100,0.45
306,Durban,ZA,-29.8579,31.0292,300.15,74,0,7.2
307,Zhigansk,RU,66.7697,123.3711,263.23,90,100,13.62
308,Pacific Grove,US,36.6177,-121.9166,281.48,87,1,1.54
309,Usinsk,RU,65.9939,57.5281,260.52,94,86,0.83
310,Huarmey,PE,-10.0681,-78.1522,297.18,64,96,2.77
311,Ailigandí,PA,9.2333,-78.0167,299.63,80,37,6.02
312,Werda,BW,-25.2667,23.2833,300.63,36,90,2.57
313,Hollola,FI,61.05,25.4333,273.15,89,100,1.34
314,Pekan,MY,3.4836,103.3996,300.15,78,20,1.54
315,Hearst,CA,49.6835,-83.6665,276.15,44,0,3.09
316,Pacifica,US,37.6138,-122.4869,282.59,87,40,2.06
317,Dikson,RU,73.5069,80.5464,242.66,91,93,8.69
318,Khani,GE,41.9563,42.9566,282.15,81,90,1.03
319,Harlingen,US,26.1906,-97.6961,285.93,76,1,2.57
320,Nova Soure,BR,-11.2333,-38.4833,306.75,35,62,5.97
321,Baruun-Urt,MN,46.6806,113.2792,265.51,45,1,2.5
322,Biak,ID,-0.9131,122.8766,298.76,80,13,0.81
323,Bolu Province,TR,40.6667,31.5833,279.31,82,100,1.12
324,Manado,ID,1.487,124.8455,298.15,94,20,1.03
325,Agirish,RU,61.9247,63.0231,259.27,94,100,4.18
326,Tracy,US,37.7397,-121.4252,281.48,78,0,1.79
327,Óbidos,BR,-1.9175,-55.5181,301.48,69,12,2.59
328,Sisimiut,GL,66.9395,-53.6735,267.6,83,100,2.23
329,Nome,US,64.5011,-165.4064,257.15,60,1,8.23
330,Praia,CV,14.9215,-23.5087,300.15,34,0,7.72
331,Kimbe,PG,-5.5502,150.1429,297.78,92,93,1.67
332,Witu,KE,-2.3889,40.4382,303.15,70,1,5.14
333,São Filipe,CV,14.8961,-24.4956,296.79,63,36,3.77
334,Wajima,JP,37.4,136.9,283.64,93,100,4.11
335,San Juan,AR,-31.5375,-68.5364,294.09,45,1,3.45
